question_number,course_id,option_letter,option_text,is_correct
1,206,A,Projected impact of current business on future business,False
1,206,B,Cost-benefit analysis of running the current business,False
1,206,C,Cost of regulatory compliance,False
1,206,D,Expected costs for recovering the business,True
2,206,A,Risk identification,False
2,206,B,Risk classification,False
2,206,C,Control self-assessment (CSA),False
2,206,D,Impact assessment,True
3,206,A,phishing.,False
3,206,B,denial of service (DoS),False
3,206,C,structured query language (SQL) injection,True
3,206,D,buffer overflow,False
4,206,A,Unicode translation,False
4,206,B,Secure Sockets Layer (SSL) encryption,False
4,206,C,Input validation,True
4,206,D,Digital signatures,False
5,206,A,System flowchart,False
5,206,B,Data flow diagram,False
5,206,C,Process flowchart,True
5,206,D,Entity-relationship diagram,False
6,206,A,Phased approach,False
6,206,B,Direct cutover,False
6,206,C,Pilot study,False
6,206,D,Parallel run,True
7,206,A,perform a business impact analysis (BIA).,False
7,206,B,issue an intermediate report to management.,False
7,206,C,evaluate the impact on current disaster recovery capability.,True
7,206,D,conduct additional compliance testing.,False
8,206,A,Block all compromised network nodes.,False
8,206,B,Contact law enforcement.,False
8,206,C,Notify senior management.,False
8,206,D,Identity nodes that have been compromised.,True
9,206,A,Assurance that the new system meets functional requirements,False
9,206,B,More time for users to complete training for the new system,False
9,206,C,Significant cost savings over other system implemental or approaches,False
9,206,D,Assurance that the new system meets performance requirements,True
10,206,A,Modify applications to no longer require direct access to the database.,False
10,206,B,Introduce database access monitoring into the environment,True
10,206,C,Modify the access management policy to make allowances for application accounts.,False
10,206,D,Schedule downtime to implement password changes.,False
11,206,A,Enterprise risk manager,False
11,206,B,Project sponsor,False
11,206,C,Information security officer,False
11,206,D,Project manager,True
12,206,A,Identifying relevant roles for an enterprise IT governance framework,False
12,206,B,Making decisions regarding risk response and monitoring of residual risk,False
12,206,C,"Verifying that legal, regulatory, and contractual requirements are being met",False
12,206,D,Providing independent and objective feedback to facilitate improvement of IT processes,True
13,206,A,Require all employees to sign nondisclosure agreements (NDAs).,False
13,206,B,Develop an acceptable use policy for end-user computing (EUC).,False
13,206,C,Develop an information classification scheme.,True
13,206,D,Provide notification to employees about possible email monitoring.,False
14,206,A,firewall standards.,False
14,206,B,configuration of the firewall,False
14,206,C,firmware version of the firewall,False
14,206,D,location of the firewall within the network,True
15,206,A,Carbon dioxide,True
15,206,B,FM-200,False
15,206,C,Dry pipe,False
15,206,D,Halon,False
16,206,A,Availability of the site in the event of multiple disaster declarations,True
16,206,B,Coordination with the site staff in the event of multiple disaster declarations,False
16,206,C,Reciprocal agreements with other organizations,False
16,206,D,Complete testing of the recovery plan,False
17,206,A,Implement a process to actively monitor postings on social networking sites.,False
17,206,B,Adjust budget for network usage to include social media usage.,False
17,206,C,Use data loss prevention (DLP) tools on endpoints.,False
17,206,D,implement policies addressing acceptable usage of social media during working hours.,True
18,206,A,the Internet.,True
18,206,B,the demilitarized zone (DMZ).,False
18,206,C,the organization's web server.,False
18,206,D,the organization's network.,False
19,206,A,Notify the chair of the audit committee.,False
19,206,B,Notify the audit manager.,True
19,206,C,Retest the control.,False
19,206,D,Close the audit finding.,False
20,206,A,Increase the capacity of existing systems.,False
20,206,B,Upgrade hardware to newer technology.,False
20,206,C,Hire temporary contract workers for the IT function.,False
20,206,D,Build a virtual environment.,True
21,206,A,Periodically reviewing log files,True
21,206,B,Configuring the router as a firewall,False
21,206,C,Using smart cards with one-time passwords,False
21,206,D,Installing biometrics-based authentication,False
22,206,A,Inherent risk is eliminated.,False
22,206,B,Residual risk is minimized.,True
22,206,C,Control risk is minimized.,False
