number,course_id,question_type,question_text,option_a,option_b,option_c,option_d,option_e,correct_answers,explanation,is_active
1,206,single,"Which of the following data would be used when performing a business impact analysis
(BIA)?",Projected impact of current business on future business,Cost-benefit analysis of running the current business,Cost of regulatory compliance,Expected costs for recovering the business,,D,"The expected costs for recovering the business would be used when performing a
business impact analysis (BIA). A BIA is a process of identifying and evaluating the
potential effects ofdisruptions to critical business functions or processes. A BIA helps to
determine the recovery priorities, strategies, and resources needed to resume normal
operations after a disruption. One of the key outputs of a BIA is an estimate of the financial
losses or costs associated with different types of disruptions, such as lost revenue,
increased expenses, contractual penalties, or regulatory fines.",True
2,206,single,"Which of the following components of a risk assessment is MOST helpful to management
in determining the level of risk mitigation to apply?",Risk identification,Risk classification,Control self-assessment (CSA),Impact assessment,,D,"An IS auditor discovers that validation controls m a web application have been moved from
the server side into the browser to boost performance This would MOST likely increase the

risk of a successful attack by.

A. phishing.
B. denial of service (DoS)
C. structured query language (SQL) injection
D. buffer overflow",True
3,206,single,"An IS auditor discovers that validation controls m a web application have been moved from
the server side into the browser to boost performance This would MOST likely increase the

risk of a successful attack by.",phishing.,denial of service (DoS),structured query language (SQL) injection,buffer overflow,,C,"Moving validation controls from the server side into the browser would most likely increase
the risk of a successful attack by structured query language (SQL) injection. SQL injection
is a technique that exploits a security vulnerability in an application’s database layer by
inserting malicious SQL statements into user input fields. Validation controls are used to
check and filter user input before sending it to the database. If these controls are moved to
the browser, they can be easily bypassed or modified by an attacker, who can then execute
arbitrary SQL commands on the database. References: CISA Review Manual, 27th Edition,
page 361",True
4,206,single,What is the BEST control to address SQL injection vulnerabilities?,Unicode translation,Secure Sockets Layer (SSL) encryption,Input validation,Digital signatures,,C,"Input validation is the best control to address SQL injection vulnerabilities, because it can
prevent malicious users from entering SQL commands or statements into input fields that
are intended for data entry, such as usernames or passwords. SQL injection is a technique
that exploits a security vulnerability in an application’s software by inserting SQL code into
a query string that can execute commands on a database server. Unicode translation, SSL
encryption, and digital signatures are not effectivecontrols against SQL injection, because
they do not prevent or detect SQL code injection into input fields. References: CISA
Review Manual (Digital Version), Chapter 5, Section 5.4.2",True
5,206,single,"Which of the following documents would be MOST useful in detecting a weakness in
segregation of duties?",System flowchart,Data flow diagram,Process flowchart,Entity-relationship diagram,,C,"The best document for an IS auditor to use in detecting a weakness in segregation of
duties is a process flowchart. A process flowchart is a diagram that illustrates the sequence
of steps, activities, tasks, or decisions involved in a business process. A process flowchart
can help detect a weakness in segregation of duties by showing who performs what actions
or roles in a process, and whether there is any overlap or conflict of interest among them.
The other options are not as useful as a process flowchart in detecting a weakness in
segregation of duties, as they do not show who performs what actions or roles in a
process. A system flowchart is a diagram that illustrates the components, functions,
interactions, or logic of an information system. A data flow diagram is a diagram that
illustrates how data flows from sources to destinations through processes, stores, or
external entities. An entity-relationship diagram is a diagram that illustrates how entities
(such as tables) are related to each other through attributes (such as keys) in a
database. References: CISA ReviewManual (Digital Version), Chapter 3, Section 3.2",True
6,206,single,Which of the following MOST effectively minimizes downtime during system conversions?,Phased approach,Direct cutover,Pilot study,Parallel run,,D,"The most effective way to minimize downtime during system conversions is to use a
parallel run. A parallel run is a method of system conversion where both the old and new
systems operate simultaneously for a period of time until the new system is verified to be

functioning correctly. Thisreduces the risk of errors, data loss, or system failure during
conversion and allows for a smooth transition from one system to
another. References: CISA Review Manual, 27th Edition, page 467",True
7,206,single,"During a disaster recovery audit, an IS auditor finds that a business impact analysis (BIA)
has not been performed. The auditor should FIRST",perform a business impact analysis (BIA).,issue an intermediate report to management.,evaluate the impact on current disaster recovery capability.,conduct additional compliance testing.,,C,"The first step that an IS auditor should take when finding that a business impact analysis
(BIA) has not been performed is to evaluate the impact on current disaster recovery
capability. A BIA is a process that identifies and analyzes the potential effects of disruptions
to critical business functions and processes. A BIA helps determine the recovery priorities,
objectives, and strategies for the organization. Without a BIA, the disaster recovery plan
may not be aligned with the business needs and expectations, and may not provide
adequate protection and recovery for the most critical assets and activities. Therefore, an
IS auditor should assess how the lack of a BIA affects the current disaster recovery
capability and identify any gaps or risks that need to be addressed.
Performing a BIA, issuing an intermediate report to management, and conducting
additional compliance testing are not the first steps that an IS auditor should take when
finding that a BIA has not been performed. These steps may be done later in the audit
process, after evaluating the impact on current disaster recovery capability. Performing a
BIA is not the responsibility of the IS auditor, but of the business owners and managers.
Issuing an intermediate report to management may be premature without sufficient
evidence and analysis. Conducting additional compliance testing may not be relevant
ornecessary without a clear understanding of the disaster recovery requirements and
objectives.",True
8,206,single,"When an intrusion into an organization network is deleted, which of the following should be
done FIRST?",Block all compromised network nodes.,Contact law enforcement.,Notify senior management.,Identity nodes that have been compromised.,,D,"The first thing that should be done when an intrusion into an organization network is
detected is to identify nodes that have been compromised. Identifying nodes that have
been compromised is a critical step in responding to an intrusion, as it helps determine the
scope, impact, and source of the attack, and enables the implementation of appropriate
containment and recovery measures. The other options are not the first things that should
be done when an intrusion into an organization network is detected, as they may be
premature or ineffective without identifying nodes that have been compromised. Blocking
all compromised network nodes is a containment measure that can help isolate and
prevent the spread of the attack, but it may not be possible or feasible without identifying
nodes that have been compromised. Contacting law enforcement is a reporting measure
that can help seek external assistance and comply with legal obligations, but it may not be
necessary or appropriate without identifying nodes that have been compromised. Notifying
senior management is a communication measure that can help inform and escalate the
incident, but it may not be urgent or accurate without identifying nodes that have been
compromised. References: CISA Review Manual (Digital Version), Chapter 4, Section 4.2.2",True
9,206,single,"Which of the following is the PRIMARY advantage of parallel processing for a new system
implementation?",Assurance that the new system meets functional requirements,More time for users to complete training for the new system,Significant cost savings over other system implemental or approaches,Assurance that the new system meets performance requirements,,D,"Parallel processing is a system implementation approach that involves running the new
system and the old system simultaneously for a period of time until the new system is

verified and accepted. The primary advantage of parallel processing is that it provides
assurance that the new system meets performance requirements and produces the same
or better results as the old system. Parallel processing also minimizes the risk of system
failure and data loss, as the old system can be used as a backup or fallback option in case
of any problems with the new system.",True
10,206,single,"In a 24/7 processing environment, a database contains several privileged application
accounts with passwords set to never expire. Which of the following recommendations
would BEST address the risk with minimal disruption to the business?",Modify applications to no longer require direct access to the database.,Introduce database access monitoring into the environment,Modify the access management policy to make allowances for application accounts.,Schedule downtime to implement password changes.,,B,"The best recommendation to address the risk of privileged application accounts with
passwords set to never expire in a 24/7 processing environment is to introduce database
access monitoring into the environment. Database access monitoring is a security control
that tracks and records all activities and transactions performed on a database, especially
by privileged users or accounts. Database access monitoring can help address the risk of
privileged application accounts with passwords set to never expire by detecting and alerting
any unauthorized or abnormal access or actions on the database. The other options are
not as effective as database access monitoring in addressing the risk, as they may cause
disruption to the business or violate the access management policy. Modifying applications
to no longer require direct access to the database is a complex and costly solution that may
affect the functionality or performance of the applications, and it may not be feasible or
practical in a 24/7 processing environment. Modifying the access management policy to
make allowances for application accounts is a risky solution that may create exceptions or
loopholes in the policy, and it may not comply with the best practices or standards for
password management. Scheduling downtime to implement password changes is a
disruptive solution that may affect the availability or continuity of the systems or
applications, and it may not be acceptable or possible in a 24/7 processing
environment. References: CISA Review Manual (Digital Version), Chapter 5, Section 5.2.4",True
